nid,Sequence,Judge Name,Court Type,Court Name,Appointment Title,Appointing President,Party of Appointing President,Reappointing President,Party of Reappointing President,ABA Rating,Seat ID,Statute Authorizing New Seat,Recess Appointment Date,Nomination Date,Committee Referral Date,Hearing Date,Judiciary Committee Action,Committee Action Date,Senate Vote Type,Ayes/Nays,Confirmation Date,Commission Date,"Service as Chief Judge, Begin","Service as Chief Judge, End","2nd Service as Chief Judge, Begin","2nd Service as Chief Judge, End",Senior Status Date,Termination,Termination Date
1378801,1,"Campbell, Todd J.",U.S. District Court,U.S. District Court for the Middle District of Tennessee,Judge,William J. Clinton,Democratic,,,Well Qualified,TNMD0503, ,,1995-06-27,1995-06-27,1995-10-24,Reported (favorably),1995-11-09,Voice,  ,1995-12-22,1995-12-26,2005,2012,,,2016-12-01,,
4027846,1,"Campbell, William Lynn, Jr.",U.S. District Court,U.S. District Court for the Middle District of Tennessee,Judge,Donald J. Trump,Republican,,,Well Qualified,TNMD0703,,,2017-07-13,2017-07-13,2017-09-06,Reported (favorably),2017-10-05,Roll Call, 97/0,2018-01-09,2018-01-12,,,,,,,
1378811,1,"Campos, Santiago E.",U.S. District Court,U.S. District Court for the District of New Mexico,Judge,Jimmy Carter,Democratic,,,Well Qualified,NMD0105, ,,1978-06-02,1978-06-05,1978-06-29,Reported (favorably),1978-06-29,Voice,  ,1978-07-10,1978-07-12,1987,1989,,,1992-12-26,Death,2001-01-20
1378816,1,"Canby, William Cameron, Jr.",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Jimmy Carter,Democratic,,,Well Qualified,CA91402, ,,1980-04-02,1980-04-02,1980-04-25,Reported (favorably),1980-05-20,Voice,  ,1980-05-21,1980-05-23,,,,,1996-05-23,,
1394266,1,"Caproni, Valerie Elaine",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Well Qualified,NYSD1006, ,,2013-01-04,2013-01-04,2013-05-23,Reported (favorably),2013-06-13,Roll Call, 73/24,2013-09-09,2013-12-02,,,,,,,
1390441,1,"Caputo, A. Richard",U.S. District Court,U.S. District Court for the Middle District of Pennsylvania,Judge,William J. Clinton,Democratic,,,Qualified,PAMD0602, ,,1997-07-31,1997-07-31,1997-09-05,Reported (favorably),1997-11-06,Voice,  ,1997-11-09,1997-11-12,,,,,2009-03-31,Death,2020-03-11
1378831,1,"Cardamone, Richard J.",U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,Ronald Reagan,Republican,,,Well Qualified,CA20207, ,,1981-10-01,1981-10-01,1981-10-22,Reported (favorably),1981-10-27,Voice,  ,1981-10-29,1981-10-29,,,,,1993-11-13,Death,2015-10-16
1391926,1,"Cardone, Kathleen",U.S. District Court,U.S. District Court for the Western District of Texas,Judge,George W. Bush,Republican,,,Well Qualified,TXWD1201,116 Stat. 1758,,2003-05-01,2003-05-01,2003-07-09,Reported (favorably),2003-07-17,Voice,  ,2003-07-28,2003-07-29,,,,,,,
1392836,1,"Carman, Gregory Wright",Other,U.S. Court of International Trade,Judge,Ronald Reagan,Republican,,,Qualified,CIT0302, ,,1983-01-31,1983-01-31,1983-02-23,Reported (favorably),1983-03-01,Voice,  ,1983-03-02,1983-03-02,1996,2003,,,2014-09-15,Death,2020-04-05
1378846,1,"Carnes, Edward Earl",U.S. Court of Appeals,U.S. Court of Appeals for the Eleventh Circuit,Judge,George H.W. Bush,Republican,,,Qualified,CA110802, ,,1992-01-27,1992-01-27,1992-04-01,Reported (favorably),1992-05-07,Roll Call, 62/36,1992-09-09,1992-09-10,2013,2020,,,2020-06-30,,
1378851,1,"Carnes, Julie E.",U.S. District Court,U.S. District Court for the Northern District of Georgia,Judge,George H.W. Bush,Republican,,,Qualified,GAND1302, ,,1991-08-01,1991-08-01,1992-01-30,Reported (favorably),1992-02-06,Voice,  ,1992-02-06,1992-02-10,2009,2014,,,,Appointment to Another Judicial Position,2014-07-31
1378851,2,"Carnes, Julie E.",U.S. Court of Appeals,U.S. Court of Appeals for the Eleventh Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CA111003, ,,2014-01-06,2014-01-06,2014-05-13,Reported (favorably),2014-06-19,Roll Call, 94/0,2014-07-21,2014-07-31,,,,,2018-06-18,,
1391806,1,"Carney, Cormac J.",U.S. District Court,U.S. District Court for the Central District of California,Judge,George W. Bush,Republican,,,Qualified,CACD0604, ,,2003-01-07,2003-01-07,2003-03-12,Reported (favorably),2003-03-20,Roll Call, 80/0,2003-04-07,2003-04-09,2020,2020,,,,,
1393711,1,"Carney, Susan Laura",U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,Barack Obama,Democratic,,,Qualified,CA20409, ,,2011-01-05,2011-01-05,,Reported (favorably),2011-02-17,Roll Call, 71/28,2011-05-17,2011-05-17,,,,,,,
1378871,1,"Carr, George Carter",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,Jimmy Carter,Democratic,,,Qualified,FLMD0502, ,,1977-11-21,1977-11-22,1977-12-02,Reported (favorably),1977-12-07,Voice,  ,1977-12-15,1977-12-16,1989,1990,,,,Death,1990-01-26
1378876,1,"Carr, James G.",U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,William J. Clinton,Democratic,,,Well Qualified,OHND0506, ,,1994-01-27,1994-01-27,1994-04-21,Reported (favorably),1994-05-05,Voice,  ,1994-05-06,1994-05-09,2004,2010,,,2010-06-01,,
1378881,1,"Carr, Patrick Eugene",U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Jimmy Carter,Democratic,,,Qualified,LAED1401,92 Stat. 1629,,1979-06-14,1979-06-14,1979-07-23,Reported (favorably),1979-09-11,Voice,  ,1979-09-25,1979-09-26,,,,,1991-10-01,Death,1998-06-01
7883206,1,"Carreño-Coll, Silvia Luisa",U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Donald J. Trump,Republican,,,Well Qualified,PRD0304,,,2019-10-15,2019-10-15,2019-10-16,Reported (favorably),2019-11-07,Roll Call, 96/0,2020-02-25,2020-02-26,,,,,,,
1378886,1,"Carrigan, James R.",U.S. District Court,U.S. District Court for the District of Colorado,Judge,Jimmy Carter,Democratic,,,Qualified,COD0601,92 Stat. 1629,,1979-06-01,1979-06-04,1979-07-19,Reported (favorably),1979-09-11,Voice,  ,1979-09-25,1979-09-26,,,,,1994-10-10,Retirement,1995-08-19
1378891,1,"Carroll, Earl Hamblin",U.S. District Court,U.S. District Court for the District of Arizona,Judge,Jimmy Carter,Democratic,,,,AZD0701,92 Stat. 1629,,1980-06-02,1980-06-02,1980-06-19,Reported (favorably),1980-06-24,Voice,  ,1980-06-26,1980-06-30,,,,,1994-10-10,Death,2017-02-03
4625001,1,"Carson, Joel McElroy III",U.S. Court of Appeals,U.S. Court of Appeals for the Tenth Circuit,Judge,Donald J. Trump,Republican,,,Well Qualified,CA101102,,,2017-12-20,2017-12-20,2018-02-14,Reported (favorably),2018-03-15,Roll Call, 77/21,2018-05-15,2018-05-17,,,,,,,
1393866,1,"Carter, Andrew Lamar, Jr.",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYSD0309, ,,2011-05-19,2011-05-19,2011-07-27,Reported (favorably),2011-09-15,Voice,  ,2011-12-05,2011-12-08,,,,,,,
1390796,1,"Carter, David O.",U.S. District Court,U.S. District Court for the Central District of California,Judge,William J. Clinton,Democratic,,,Qualified,CACD1603, ,,1998-06-25,1998-06-25,1998-10-01,Reported (favorably),1998-10-08,Voice,  ,1998-10-21,1998-10-22,,,,,,,
1378901,1,"Carter, Gene",U.S. District Court,U.S. District Court for the District of Maine,Judge,Ronald Reagan,Republican,,,,MED0110, ,,1983-05-26,1983-05-26,1983-06-08,Reported (favorably),1983-06-16,Voice,  ,1983-06-22,1983-06-23,1989,1996,,,2003-01-02,,
1378916,1,"Carter, Robert Lee",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Richard M. Nixon,Republican,,,Qualified,NYSD2002, ,,1972-06-15,1972-06-15,1972-06-28,Reported (favorably),1972-07-20,Voice,  ,1972-07-21,1972-07-25,,,,,1986-12-31,Death,2012-01-03
1378926,1,"Casellas, Salvador E.",U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,William J. Clinton,Democratic,,,Qualified,PRD0702, ,,1994-06-21,1994-06-21,1994-08-17,Reported (favorably),1994-09-22,Voice,  ,1994-09-28,1994-09-29,,,,,2005-06-10,Death,2017-11-22
1390446,1,"Casey, Richard Conway",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Qualified,NYSD1106, ,,1997-07-16,1997-07-16,1997-09-30,Reported (favorably),1997-10-09,Voice,  ,1997-10-21,1997-10-24,,,,,,Death,2007-03-22
1393536,1,"Casper, Denise Jefferson",U.S. District Court,U.S. District Court for the District of Massachusetts,Judge,Barack Obama,Democratic,,,Well Qualified,MAD1003, ,,2010-04-28,2010-04-28,2010-07-15,Reported (favorably),2010-08-05,Voice,  ,2010-12-17,2010-12-20,,,,,,,
1391536,1,"Cassell, Paul G.",U.S. District Court,U.S. District Court for the District of Utah,Judge,George W. Bush,Republican,,,Well Qualified,UTD0204, ,,2001-09-04,2001-09-04,2002-03-19,Reported (favorably),2002-05-02,Roll Call, 67/20,2002-05-13,2002-05-15,,,,,,Resignation,2007-11-05
1378941,1,"Castagna, William John",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,Jimmy Carter,Democratic,,,Well Qualified,FLMD0801,92 Stat. 1629,,1979-06-05,1979-06-05,1979-07-13,Reported (favorably),1979-07-17,Voice,  ,1979-07-23,1979-07-24,,,,,1992-06-29,,
1391981,1,"Castel, P. Kevin",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,George W. Bush,Republican,,,Well Qualified,NYSD1804, ,,2003-03-05,2003-03-05,2003-07-22,Reported (favorably),2003-07-31,Voice,  ,2003-09-17,2003-09-22,,,,,2017-08-05,,
1378946,1,"Castillo, Rubén",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,William J. Clinton,Democratic,,,Well Qualified,ILND0604, ,,1994-01-27,1994-01-27,1994-03-25,Reported (favorably),1994-05-05,Voice,  ,1994-05-06,1994-05-09,2013,2019,,,,Retirement,2019-09-27
1378961,1,"Caulfield, Barbara A.",U.S. District Court,U.S. District Court for the Northern District of California,Judge,George H.W. Bush,Republican,,,Well Qualified,CAND0306, ,,1991-06-27,1991-06-27,1991-10-02,Reported (favorably),1991-10-31,Voice,  ,1991-10-31,1991-11-05,,,,,,Resignation,1994-09-16
1378966,1,"Cauthron, Robin J.",U.S. District Court,U.S. District Court for the Western District of Oklahoma,Judge,George H.W. Bush,Republican,,,Well Qualified,OKWD0801,104 Stat. 5089,,1991-02-07,1991-02-07,1991-03-13,Reported (favorably),1991-03-21,Voice,  ,1991-03-21,1991-03-25,2001,2008,,,2015-07-14,,
1391236,1,"Cavanaugh, Dennis M.",U.S. District Court,U.S. District Court for the District of New Jersey,Judge,William J. Clinton,Democratic,,,Well Qualified,NJD1503, ,,2000-05-03,2000-05-05,2000-07-12,Reported (favorably),2000-07-20,Voice,  ,2000-07-21,2000-09-20,,,,,,Retirement,2014-01-31
1391286,1,"Cebull, Richard F.",U.S. District Court,U.S. District Court for the District of Montana,Judge,George W. Bush,Republican,,,Well Qualified,MTD0205, ,,2001-05-17,2001-05-21,2001-07-11,Reported (favorably),2001-07-19,Roll Call, 93/0,2001-07-20,2001-07-25,2008,2013,,,2013-03-18,Retirement,2013-05-03
1393716,1,"Cecchi, Claire Claudia",U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Barack Obama,Democratic,,,Qualified,NJD0706, ,,2011-01-05,2011-01-05,2011-03-02,Reported (favorably),2011-03-31,Roll Call, 98/0,2011-06-14,2011-06-14,,,,,,,
1378986,1,"Cedarbaum, Miriam Goldman",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Ronald Reagan,Republican,,,Well Qualified,NYSD1703, ,,1986-02-03,1986-02-03,1986-02-19,Reported (favorably),1986-02-27,Voice,  ,1986-03-03,1986-03-04,,,,,1998-03-31,Death,2016-02-05
1391586,1,"Cercone, David S.",U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,George W. Bush,Republican,,,Qualified,PAWD0305, ,,2002-03-21,2002-03-21,2002-06-13,Reported (favorably),2002-06-20,Voice,  ,2002-08-01,2002-08-02,,,,,2017-11-24,,
1378996,1,"Cerezo, Carmen Consuelo",U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Jimmy Carter,Democratic,,,Qualified,PRD0601,92 Stat. 1629,,1980-05-14,1980-05-14,1980-06-10,Reported (favorably),1980-06-24,Voice,  ,1980-06-26,1980-06-30,1993,1999,,,,,
1392371,1,"Chagares, Michael A.",U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA30806, ,,2006-01-25,2006-01-25,2006-03-14,Reported (favorably),2006-03-30,Roll Call, 98/0,2006-04-04,2006-04-20,,,,,,,
1390451,1,"Chambers, Robert Charles",U.S. District Court,U.S. District Court for the Southern District of West Virginia,Judge,William J. Clinton,Democratic,,,Qualified,WVSD0403, ,,1997-06-05,1997-06-05,1997-07-22,Reported (favorably),1997-07-31,Voice,  ,1997-09-05,1997-09-18,2012,2017,,,,,
1393546,1,"Chang, Edmond E-Min",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,Barack Obama,Democratic,,,Qualified,ILND1104, ,,2010-04-21,2010-04-21,2010-07-15,Reported (favorably),2010-08-05,Voice,  ,2010-12-18,2010-12-20,,,,,,,
1379011,1,"Chapman, Robert Foster",U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Richard M. Nixon,Republican,,,Qualified,SCD0601,84 Stat. 294,,1971-05-18,1971-05-18,1971-05-26,Reported (favorably),1971-05-26,Voice,  ,1971-05-26,1971-05-27,,,,,,Appointment to Another Judicial Position,1981-10-02
1379011,2,"Chapman, Robert Foster",U.S. Court of Appeals,U.S. Court of Appeals for the Fourth Circuit,Judge,Ronald Reagan,Republican,,,Well Qualified,CA40405, ,,1981-07-16,1981-07-16,1981-07-28,Reported (favorably),1981-09-15,Voice,  ,1981-09-16,1981-09-19,,,,,1991-05-31,Death,2018-04-18
1394206,1,"Chappell, Sheri Polster",U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,Barack Obama,Democratic,,,Qualified,FLMD1402, ,,2013-01-04,2013-01-04,,Reported (favorably),2013-03-07,Roll Call, 90/0,2013-05-20,2013-05-22,,,,,,,
1379016,1,"Chasanow, Deborah K.",U.S. District Court,U.S. District Court for the District of Maryland,Judge,William J. Clinton,Democratic,,,Well Qualified,MDD0503, ,,1993-08-06,1993-08-06,1993-10-07,Reported (favorably),1993-10-14,Voice,  ,1993-10-18,1993-10-20,2010,2014,,,2014-10-03,,
1379036,1,"Chatigny, Robert N.",U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,,,Well Qualified,CTD0502, ,,1994-08-05,1994-08-05,1994-09-14,Reported (favorably),1994-09-22,Voice,  ,1994-09-28,1994-09-29,2003,2009,,,2016-12-31,,
1393696,1,"Chen, Edward Milton",U.S. District Court,U.S. District Court for the Northern District of California,Judge,Barack Obama,Democratic,,,Well Qualified,CAND1205, ,,2011-01-05,2011-01-05,,Reported (favorably),2011-03-17,Roll Call, 56/42,2011-05-10,2011-05-12,,,,,,,
1394131,1,"Chen, Pamela Ki Mai",U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYED1202, ,,2013-01-04,2013-01-04,,Reported (favorably),2013-02-14,Voice,  ,2013-03-04,2013-03-05,,,,,,,
1394261,1,"Chen, Raymond T.",U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CAFC0403, ,,2013-02-07,2013-02-07,2013-04-24,Reported (favorably),2013-05-16,Roll Call, 97/0,2013-08-01,2013-08-02,,,,,,,
1391851,1,"Chertoff, Michael",U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA30805, ,,2003-03-05,2003-03-05,2003-05-07,Reported (favorably),2003-05-22,Roll Call, 88/1,2003-06-09,2003-06-10,,,,,,Resignation,2005-02-15
1391651,1,"Chesler, Stanley R.",U.S. District Court,U.S. District Court for the District of New Jersey,Judge,George W. Bush,Republican,,,Well Qualified,NJD1302, ,,2002-01-23,2002-01-23,2002-09-26,Reported (favorably),2002-10-08,Voice,  ,2002-11-14,2002-12-04,,,,,2015-06-15,,
1379046,1,"Chesney, Maxine M.",U.S. District Court,U.S. District Court for the Northern District of California,Judge,William J. Clinton,Democratic,,,Well Qualified,CAND0406, ,,1995-01-24,1995-01-24,1995-03-28,Reported (favorably),1995-04-07,Voice,  ,1995-05-08,1995-05-10,,,,,2009-06-30,,
1394381,1,"Chhabria, Vince Girdhari",U.S. District Court,U.S. District Court for the Northern District of California,Judge,Barack Obama,Democratic,,,Well Qualified,CAND0308, ,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 58/41,2014-03-05,2014-03-07,,,,,,,
1393286,1,"Childs, Julianna Michelle",U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,,,Well Qualified,SCD0203, ,,2009-12-22,2009-12-22,2010-04-16,Reported (favorably),2010-05-06,Voice,  ,2010-08-05,2010-08-20,,,,,,,
1379061,1,"Chin, Denny",U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD2901,104 Stat. 5089,,1994-03-24,1994-03-24,1994-07-21,Reported (favorably),1994-08-04,Voice,  ,1994-08-09,1994-08-10,,,,,,Appointment to Another Judicial Position,2010-04-26
1379061,2,"Chin, Denny",U.S. Court of Appeals,U.S. Court of Appeals for the Second Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CA21403, ,,2009-10-06,2009-10-06,2009-11-18,Reported (favorably),2009-12-10,Roll Call, 98/0,2010-04-22,2010-04-23,,,,,,,
1379081,1,"Cholakis, Con. G.",U.S. District Court,U.S. District Court for the Northern District of New York,Judge,Ronald Reagan,Republican,,,Well Qualified,NYND0305, ,,1986-02-07,1986-02-10,1986-02-26,Reported (favorably),1986-03-06,Voice,  ,1986-03-14,1986-03-17,,,,,1996-06-30,Death,1996-12-01
1379086,1,"Choy, Herbert Young Cho",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Richard M. Nixon,Republican,,,Qualified,CA90504, ,,1971-04-07,1971-04-14,1971-04-21,Reported (favorably),1971-04-21,Voice,  ,1971-04-21,1971-04-23,,,,,1984-10-03,Death,2004-03-10
1393881,1,"Christen, Morgan",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Barack Obama,Democratic,,,Well Qualified,CA91304, ,,2011-05-18,2011-05-18,2011-07-13,Reported (favorably),2011-09-08,Roll Call, 95/3,2011-12-15,2012-01-11,,,,,,,
1393876,1,"Christensen, Dana Lewis",U.S. District Court,U.S. District Court for the District of Montana,Judge,Barack Obama,Democratic,,,Well Qualified,MTD0111, ,,2011-05-04,2011-05-04,2011-09-07,Reported (favorably),2011-10-06,Voice,  ,2011-12-05,2011-12-06,2013,2020,,,,,
1394471,1,"Chuang, Theodore David",U.S. District Court,U.S. District Court for the District of Maryland,Judge,Barack Obama,Democratic,,,Well Qualified,MDD0306, ,,2014-01-06,2014-01-06,,Reported (favorably),2014-01-16,Roll Call, 53/42,2014-05-01,2014-05-02,,,,,,,
1379106,1,"Churchill, James Paul",U.S. District Court,U.S. District Court for the Eastern District of Michigan,Judge,Gerald Ford,Republican,,,Qualified,MIED0111, ,,1974-12-02,1974-12-02,1974-12-12,Reported (favorably),1974-12-17,Voice,  ,1974-12-18,1974-12-20,1989,1989,,,1989-12-31,Death,2020-06-29
1394546,1,"Chutkan, Tanya Sue",U.S. District Court,U.S. District Court for the District of Columbia,Judge,Barack Obama,Democratic,,,Qualified,DCD1701,104 Stat. 5089,,2014-01-06,2014-01-06,2014-02-25,Reported (favorably),2014-03-27,Roll Call, 95/0,2014-06-04,2014-06-05,,,,,,,
1379111,1,"Cindrich, Robert J.",U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,William J. Clinton,Democratic,,,Well Qualified,PAWD0803, ,,1994-08-12,1994-08-12,1994-09-21,Reported (favorably),1994-09-28,Voice,  ,1994-10-06,1994-10-07,,,,,,Resignation,2004-01-30
1379116,1,"Cire, George Edward",U.S. District Court,U.S. District Court for the Southern District of Texas,Judge,Jimmy Carter,Democratic,,,Well Qualified,TXSD0901,92 Stat. 1629,,1979-02-13,1979-02-19,1979-05-02,Reported (favorably),1979-05-08,Voice,  ,1979-05-10,1979-05-11,,,,,,Death,1985-05-05
1379121,1,"Claiborne, Harry E.",U.S. District Court,U.S. District Court for the District of Nevada,Judge,Jimmy Carter,Democratic,,,Well Qualified,NVD0203, ,,1978-07-25,1978-07-25,1978-08-08,Reported (favorably),1978-08-09,Voice,  ,1978-08-11,1978-08-11,1980,1986,,,,Impeachment & Conviction,1986-10-09
1391636,1,"Clark, Ron",U.S. District Court,U.S. District Court for the Eastern District of Texas,Judge,George W. Bush,Republican,,,Well Qualified,TXED0502, ,,2002-01-23,2002-01-23,2002-08-01,Reported (favorably),2002-09-19,Voice,  ,2002-10-02,2002-10-10,2015,2018,,,2018-02-28,,
1379166,1,"Clark, Russell Gentry",U.S. District Court,U.S. District Court for the Western District of Missouri,Judge,Jimmy Carter,Democratic,,,Qualified,MOWD0108, ,,1977-06-13,1977-06-13,1977-06-30,Reported (favorably),1977-06-30,Voice,  ,1977-07-01,1977-07-05,1980,1985,,,1991-08-01,Retirement,2000-07-31
6489106,1,"Clark, Stephen Robert, Sr.",U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Donald J. Trump,Republican,,,Well Qualified,MOED0603,,,2019-01-23,2019-01-23,,Reported (favorably),2019-02-07,Roll Call, 53/45,2019-05-22,2019-06-12,,,,,,,
1379171,1,"Clark, Thomas Alonzo",U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,Judge,Jimmy Carter,Democratic,,,Well Qualified,CA52501,92 Stat. 1629,,1979-08-28,1979-09-05,1979-10-17,Reported (favorably),1979-10-30,Voice,  ,1979-10-31,1979-11-02,,,,,,Reassignment,1981-10-01
1379191,1,"Clarke, Joseph Calvitt, Jr.",U.S. District Court,U.S. District Court for the Eastern District of Virginia,Judge,Gerald Ford,Republican,,,Qualified,VAED0402, ,,1974-12-11,1974-12-11,1974-12-18,Reported (favorably),1974-12-18,Voice,  ,1974-12-19,1974-12-20,,,,,1991-07-31,Death,2004-05-06
1390456,1,"Clay, Eric L.",U.S. Court of Appeals,U.S. Court of Appeals for the Sixth Circuit,Judge,William J. Clinton,Democratic,,,Well Qualified,CA61502, ,,1997-01-07,1997-01-07,1997-05-07,Reported (favorably),1997-05-22,Voice,  ,1997-07-31,1997-08-01,,,,,,,
1379221,1,"Cleland, Robert Hardy",U.S. District Court,U.S. District Court for the Eastern District of Michigan,Judge,George H.W. Bush,Republican,,,Qualified,MIED0112, ,,1990-02-20,1990-02-20,1990-05-17,Reported (favorably),1990-06-14,Voice,  ,1990-06-18,1990-06-19,,,,,2013-02-28,,
1379226,1,"Clement, Edith Brown",U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,George H.W. Bush,Republican,,,Qualified,LAED0404, ,,1991-10-01,1991-10-01,1991-11-14,Reported (favorably),1991-11-21,Voice,  ,1991-11-21,1991-11-25,2001,2001,,,,Appointment to Another Judicial Position,2001-11-27
1379226,2,"Clement, Edith Brown",U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,Judge,George W. Bush,Republican,,,Well Qualified,CA52303, ,,2001-09-04,2001-09-04,2001-10-04,Reported (favorably),2001-11-01,Roll Call, 99/0,2001-11-13,2001-11-26,,,,,2018-05-14,,
1379231,1,"Clemon, U. W.",U.S. District Court,U.S. District Court for the Northern District of Alabama,Judge,Jimmy Carter,Democratic,,,Not Qualified,ALND0901,92 Stat. 1629,,1980-01-10,1980-01-10,1980-05-19,Reported (favorably),1980-06-24,Voice,  ,1980-06-26,1980-06-30,1999,2006,,,,Retirement,2009-01-31
1379236,1,"Clevenger, Raymond Charles III",U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,George H.W. Bush,Republican,,,Qualified,CAFC1102, ,,1990-01-24,1990-01-24,1990-04-04,Reported (favorably),1990-04-26,Voice,  ,1990-04-27,1990-04-30,,,,,2006-02-01,,
1379241,1,"Clevert, Charles N., Jr.",U.S. District Court,U.S. District Court for the Eastern District of Wisconsin,Judge,William J. Clinton,Democratic,,,Well Qualified,WIED0402, ,,1995-12-07,1995-12-07,1996-03-27,Reported (favorably),1996-04-25,Voice,  ,1996-07-17,1996-07-29,2009,2012,,,2012-10-31,Retirement,2017-03-31
1391546,1,"Clifton, Richard R.",U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,George W. Bush,Republican,,,Qualified,CA92602, ,,2001-09-04,2001-09-04,2002-05-09,Reported (favorably),2002-05-16,Roll Call, 98/0,2002-07-18,2002-07-30,,,,,2016-12-31,,
1379261,1,"Coar, David H.",U.S. District Court,U.S. District Court for the Northern District of Illinois,Judge,William J. Clinton,Democratic,,,Well Qualified,ILND1404, ,,1994-08-16,1994-08-16,1994-09-21,Reported (favorably),1994-09-28,Voice,  ,1994-10-06,1994-10-07,,,,,2009-08-12,Retirement,2010-12-31
1379266,1,"Cobb, Howell",U.S. District Court,U.S. District Court for the Eastern District of Texas,Judge,Ronald Reagan,Republican,,,Qualified,TXED0501,98 Stat. 333,,1985-02-26,1985-02-26,,Reported (favorably),1985-04-03,Voice,  ,1985-04-03,1985-04-04,,,,,2001-03-01,Death,2005-09-16
1379281,1,"Coffey, John Louis",U.S. Court of Appeals,U.S. Court of Appeals for the Seventh Circuit,Judge,Ronald Reagan,Republican,,,Qualified,CA70107, ,,1982-02-19,1982-02-19,1982-03-11,Reported (favorably),1982-03-17,Voice,  ,1982-03-18,1982-03-19,,,,,2004-07-02,Death,2012-11-10
1379291,1,"Coffman, Jennifer B.",U.S. District Court,U.S. District Court for the Eastern District of Kentucky,Judge,William J. Clinton,Democratic,,,Well Qualified,KYED0203, ,,1993-08-06,1993-08-06,1993-09-23,Reported (favorably),1993-09-30,Voice,  ,1993-09-30,1993-10-01,2007,2012,,,,Retirement,2013-01-08
1379291,2,"Coffman, Jennifer B.",U.S. District Court,U.S. District Court for the Western District of Kentucky,Judge,William J. Clinton,Democratic,,,Well Qualified,KYWD0203, ,,1993-08-06,1993-08-06,1993-09-23,Reported (favorably),1993-09-30,Voice,  ,1993-09-30,1993-10-01,,,,,,Retirement,2013-01-08
1379296,1,"Coffrin, Albert Wheeler",U.S. District Court,U.S. District Court for the District of Vermont,Judge,Richard M. Nixon,Republican,,,,VTD0202, ,,1972-05-03,1972-05-03,1972-05-23,Reported (favorably),1972-06-08,Voice,  ,1972-06-08,1972-06-09,1983,1988,,,1989-01-31,Death,1993-01-13
1392391,1,"Cogan, Brian Mark",U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,George W. Bush,Republican,,,Qualified,NYED0307, ,,2006-01-25,2006-01-25,2006-03-29,Reported (favorably),2006-04-27,Roll Call, 95/0,2006-05-04,2006-06-07,,,,,2020-06-12,,
